"MUNID","CODEID","SEGMENT","TYPE","GENERIQUE","LIAISON","SPECIFIQUE","DIRECTION","NOM_TOPO","COTE","ORIENTATIO","DIREC_UNIQ","CIV_GAU_DE","CIV_GAU_A","CIV_DRT_DE","CIV_DRT_A","LIMITE_VIT","HIERARCHI","ENTITEID","GEOM"
"81017","12414","","Bretelle","Autoroute","de l'","Outaouais","","Autoroute de l'Outaouais","","","Oui","0","0","0","0","50","Autoroute","{8D531B70-FCD8-47F6-828F-6C988F797254}","LINESTRING (-75.418127 45.560125,-75.418122 45.560121,-75.417703 45.559793,-75.416114 45.558547,-75.41584237411952 45.55824933099698,-75.4156763364934 45.557915897563745,-75.415625 45.557565,-75.41567849351694 45.55718716163645,-75.41587500587043 45.5568341229214,-75.4162 45.556532,-75.41656090537909 45.556267469582444,-75.41696154736393 45.556032841318974,-75.417397 45.555831,-75.418405 45.555408)"
"81017","203","","Standard","Rue","","Dollard","","Rue Dollard","","","Non","630","652","625","635","40","Rue locale","{B0960669-987C-40EF-B01F-3F6E2AD63403}","LINESTRING (-75.407898 45.584349,-75.407774 45.583574)"
"81017","184","","Cul-de-sac carré","Rue","","Roméo-Lorrain","","Rue Roméo-Lorrain","","","Non","195","217","200","210","40","Rue locale","{702C7536-63B8-4826-AC9C-1F846A7CD6DD}","LINESTRING (-75.407898 45.584349,-75.407797 45.584352,-75.406297 45.584439)"
"81017","3751","","Standard","Boulevard","","Riel","","Boulevard Riel","","","Oui","0","0","234","238","50","Collectrice principale","{ADF053A7-EE4B-482D-9E7E-7411196AC62D}","LINESTRING (-75.753804 45.460664,-75.754513 45.461484)"
"81017","3757","","Jointure","Rue","","Jolicoeur","","Rue Jolicoeur","","","Non","0","0","0","0","40","Collectrice secondaire","{B7477A03-5AC1-4F97-AFA2-AE573566A0CA}","LINESTRING (-75.753804 45.460664,-75.753962 45.460612)"
"81017","1618","","Standard","Rue","","Victor-Hugo","","Rue Victor-Hugo","","","Non","47","107","8","108","40","Rue locale","{806C16CE-71F7-4186-BC07-AAC8C98B44E1}","LINESTRING (-75.63493 45.503027,-75.634905 45.502929,-75.634636 45.502452,-75.63460975191785 45.50242532608894,-75.63457627149681 45.502403005808254,-75.634537 45.502386,-75.63448366841352 45.502373084946406,-75.6344275401785 45.50236968323519,-75.634372 45.502376,-75.632119 45.503019)"
"81017","1598","","Standard","Rue","","André-Malraux","","Rue André-Malraux","","","Non","7","107","8","120","40","Rue locale","{A1572898-8A32-48AB-AC36-4E4655E14F73}","LINESTRING (-75.63493 45.503027,-75.635071 45.503977,-75.635073 45.504001,-75.635069 45.504027,-75.635059 45.504053,-75.635043 45.504077,-75.63502 45.504099,-75.634993 45.504117,-75.634962 45.504132,-75.634928 45.504143,-75.634891 45.50415,-75.634875 45.504151,-75.633253 45.504274,-75.633199 45.504279,-75.633112 45.504291,-75.632851 45.504333,-75.632727 45.504353,-75.63270307741077 45.504356598320925,-75.6326790754413 45.504359931927794,-75.632655 45.504363,-75.6326134979885 45.504367790741966,-75.63257182121195 45.504371791712515,-75.63253 45.504375,-75.632365 45.504385)"
"81017","6617","","Standard","Rue","de","Charny","","Rue de Charny","","","Non","224","304","215","277","40","Rue locale","{0454DF4B-4275-4CF7-921C-F349553CA92E}","LINESTRING (-75.63493 45.503027,-75.634804 45.503037,-75.63471132795532 45.50304804573749,-75.6346204290338 45.503064755098066,-75.634532 45.503087,-75.63266 45.503618,-75.63263256830083 45.503623132261204,-75.63260442156295 45.503625812902904,-75.632576 45.503626,-75.63253484767249 45.50362224285931,-75.63249538208846 45.50361313541684,-75.632459 45.503599,-75.63241778655222 45.50357281193388,-75.63238652545883 45.50354053145699,-75.632367 45.503504,-75.63236318959255 45.50348760141884,-75.6323588555265 45.50347126532375,-75.632354 45.503455,-75.63234822047333 45.50343823285162,-75.63234188598624 45.50342156314873,-75.632335 45.503405,-75.63232694657678 45.503387519090666,-75.63231827812011 45.50337018217731,-75.632309 45.503353,-75.632119 45.503019)"
"81017","4887","","Standard","Rue","","Saint-Henri","","Rue Saint-Henri","","","Non","31","65","0","0","40","Rue locale","{3153AA95-3F79-4C47-B856-261F3A155BAD}","LINESTRING (-75.719988 45.433611,-75.720037 45.434998,-75.72004849678258 45.435026061258476,-75.72007076827397 45.435050731218176,-75.720102 45.43507,-75.72013247729566 45.435081302249635,-75.7201656617763 45.43508773597547,-75.7202 45.435089,-75.720975 45.435057)"
"81017","4886","","Standard","Rue","","Saint-Étienne","","Rue Saint-Étienne","","","Non","0","0","36","46","40","Rue locale","{38B361A6-EBFF-40BF-A8BB-9C565DC12C10}","LINESTRING (-75.719988 45.433611,-75.719065 45.433653)"
"81017","1030","","Standard","Rue","","Saint-Henri","","Rue Saint-Henri","","","Oui","28","8","25","7","40","Rue locale","{ED42865A-9D1D-4148-82A3-2E38B466F13D}","LINESTRING (-75.719988 45.433611,-75.719956 45.432421)"
"81017","6556","","Standard","Rue","","P.-Labine","","Rue P.-Labine","","","Non","425","453","420","440","40","Collectrice secondaire","{37E77CF3-DEBA-41AA-9FB4-22A1B7099A3B}","LINESTRING (-75.647095 45.505735,-75.6472539549631 45.50578658545964,-75.64741755029586 45.50583032217104,-75.647585 45.505866,-75.64792251433623 45.505961079775076,-75.64821273601005 45.5061154094181,-75.648435 45.506318,-75.648642 45.506559)"
"81017","7657","","Standard","Rue","","Saint-Louis","","Rue Saint-Louis","","","Non","0","0","0","0","70","Artère secondaire","{5674FAED-9314-42A9-8FCC-B9951A782746}","LINESTRING (-75.762949 45.507875,-75.763311 45.509003,-75.76354 45.509717)"
"81017","11587","","Standard","Boulevard","","La Vérendrye","Ouest","Boulevard La Vérendrye Ouest","","","Non","0","0","0","0","70","Artère principale","{01972EBE-1D2F-4BC8-8825-31F9C9CC69BE}","LINESTRING (-75.700092 45.489625,-75.697852 45.489845)"
